seqid	start	end	strand	gene_id	description
Chr6	4587645	4589240	-	Sdiv_ptg000012l_0869-R	Similar to CYTB5-D: Cytochrome B5 isoform D (Arabidopsis thaliana)
Chr6	4589351	4592252	+	Sdiv_ptg000012l_0870-R	Protein of unknown function
Chr6	4592494	4593923	+	Sdiv_ptg000012l_0871-R	Similar to RPL13AD: 60S ribosomal protein L13a-4 (Arabidopsis thaliana)
Chr6	4595914	4599894	+	Sdiv_ptg000012l_0872-R	Similar to At5g48740: Probable LRR receptor-like serine/threonine-protein kinase At5g48740 (Arabidopsis thaliana)
Chr6	4596437	4597459	-	Sdiv_ptg000012l_0873-R	Protein of unknown function
Chr6	4600038	4601993	-	Sdiv_ptg000012l_0874-R	Similar to At5g48730: Pentatricopeptide repeat-containing protein At5g48730%2C chloroplastic (Arabidopsis thaliana)
Chr6	4602714	4605911	-	Sdiv_ptg000012l_0875-R	Similar to XRI1: Protein XRI1 (Arabidopsis thaliana)
Chr6	4610743	4612555	+	Sdiv_ptg000012l_0876-R	Similar to ubxn1: UBX domain-containing protein 1 (Xenopus tropicalis)
Chr6	4614348	4616524	+	Sdiv_ptg000012l_0877-R	Similar to Ush1g: pre-mRNA splicing regulator USH1G (Mus musculus)
Chr6	4616861	4618811	-	Sdiv_ptg000012l_0878-R	Similar to Bcap31: B-cell receptor-associated protein 31 (Mus musculus)
Chr6	4619780	4621265	+	Sdiv_ptg000012l_0879-R	Similar to RIN4: RPM1-interacting protein 4 (Arabidopsis thaliana)
Chr6	4622069	4624054	+	Sdiv_ptg000012l_0880-R	Similar to Rnf4: E3 ubiquitin-protein ligase RNF4 (Mus musculus)
Chr6	4624294	4624593	-	Sdiv_ptg000012l_0881-R	Protein of unknown function
Chr6	4626237	4628431	+	Sdiv_ptg000012l_0882-R	Similar to FHA2: FHA domain-containing protein FHA2 (Arabidopsis thaliana)
Chr6	4628550	4631710	-	Sdiv_ptg000012l_0883-R	Similar to NTF2: Nuclear transport factor 2 (Arabidopsis thaliana)
Chr6	4631854	4634428	+	Sdiv_ptg000012l_0884-R	Similar to CYCC1-1: Cyclin-C1-1 (Arabidopsis thaliana)
Chr6	4635882	4637721	+	Sdiv_ptg000012l_0885-R	Similar to GCH1: GTP cyclohydrolase 1 (Arabidopsis thaliana)
Chr6	4638165	4641919	-	Sdiv_ptg000012l_0886-R	Protein of unknown function
Chr6	4642038	4643814	-	Sdiv_ptg000012l_0887-R	Similar to At3g17800: UV-B-induced protein At3g17800%2C chloroplastic (Arabidopsis thaliana)
Chr6	4643725	4645647	+	Sdiv_ptg000012l_0888-R	Similar to FKBP15-2: Peptidyl-prolyl cis-trans isomerase FKBP15-2 (Arabidopsis thaliana)
Chr6	4645915	4649106	+	Sdiv_ptg000012l_0889-R	Similar to FKBP65: Peptidyl-prolyl cis-trans isomerase FKBP65 (Arabidopsis thaliana)
Chr6	4652197	4653310	-	Sdiv_ptg000012l_0890-R	Similar to BHLH78: Transcription factor bHLH78 (Arabidopsis thaliana)
Chr6	4653685	4654633	-	Sdiv_ptg000012l_0891-R	Similar to BHLH78: Transcription factor bHLH78 (Arabidopsis thaliana)
Chr6	4656738	4659087	-	Sdiv_ptg000012l_0892-R	Similar to HINT3: Adenylylsulfatase HINT3 (Arabidopsis thaliana)
Chr6	4660417	4661211	+	Sdiv_ptg000012l_0893-R	Similar to CRRSP55: Cysteine-rich repeat secretory protein 55 (Arabidopsis thaliana)
Chr6	4662038	4663802	+	Sdiv_ptg000012l_0894-R	Protein of unknown function
Chr6	4664034	4669002	-	Sdiv_ptg000012l_0895-R	Similar to AUG3: AUGMIN subunit 3 (Arabidopsis thaliana)
Chr6	4671176	4672350	-	Sdiv_ptg000012l_0896-R	Protein of unknown function
Chr6	4675443	4679458	-	Sdiv_ptg000012l_0897-R	Similar to PRDA1: Protein PEP-RELATED DEVELOPMENT ARRESTED 1%2C chloroplastic (Arabidopsis thaliana)
Chr6	4681994	4685191	+	Sdiv_ptg000012l_0898-R	Similar to FIM2: Fimbrin-2 (Arabidopsis thaliana)
Chr6	4685688	4686879	-	Sdiv_ptg000012l_0899-R	Protein of unknown function
Chr6	4688547	4692126	+	Sdiv_ptg000012l_0900-R	Similar to SKU5: Monocopper oxidase-like protein SKU5 (Arabidopsis thaliana)
Chr6	4694663	4698094	-	Sdiv_ptg000012l_0901-R	Similar to ZIP4: TPR repeat-containing protein ZIP4 (Arabidopsis thaliana)
Chr6	4698528	4701688	-	Sdiv_ptg000012l_0902-R	Similar to FRL3: FRIGIDA-like protein 3 (Arabidopsis thaliana)
Chr6	4703750	4706009	+	Sdiv_ptg000012l_0903-R	Similar to At5g48380: Probably inactive leucine-rich repeat receptor-like protein kinase At5g48380 (Arabidopsis thaliana)
Chr6	4706597	4708836	+	Sdiv_ptg000012l_0904-R	Similar to TE2: Acyl-coenzyme A thioesterase 2%2C chloroplastic (Humulus lupulus)
Chr6	4708874	4711897	-	Sdiv_ptg000012l_0905-R	Similar to FH9: Formin-like protein 9 (Arabidopsis thaliana)
Chr6	4712628	4714663	-	Sdiv_ptg000012l_0906-R	Protein of unknown function
Chr6	4715783	4717842	-	Sdiv_ptg000012l_0907-R	Similar to RPL5B: 60S ribosomal protein L5-2 (Arabidopsis thaliana)
Chr6	4718268	4723851	+	Sdiv_ptg000012l_0908-R	Protein of unknown function
Chr6	4724143	4724880	-	Sdiv_ptg000012l_0909-R	Similar to RLP6: Receptor-like protein 6 (Arabidopsis thaliana)
Chr6	4725554	4727830	+	Sdiv_ptg000012l_0910-R	Protein of unknown function
Chr6	4727898	4730585	-	Sdiv_ptg000012l_0911-R	Similar to APS1: Glucose-1-phosphate adenylyltransferase small subunit%2C chloroplastic (Arabidopsis thaliana)
Chr6	4732166	4733179	+	Sdiv_ptg000012l_0912-R	Similar to SMD1A: Small nuclear ribonucleoprotein SmD1a (Arabidopsis thaliana)
Chr6	4740762	4742720	+	Sdiv_ptg000012l_0913-R	Similar to COL10: Zinc finger protein CONSTANS-LIKE 10 (Arabidopsis thaliana)
Chr6	4742417	4744577	-	Sdiv_ptg000012l_0914-R	Similar to RRP15: RRP15-like protein (Homo sapiens)
Chr6	4744762	4747997	+	Sdiv_ptg000012l_0915-R	Similar to AAT1: Acetyl-CoA acetyltransferase%2C cytosolic 1 (Arabidopsis thaliana)
Chr6	4747957	4750691	-	Sdiv_ptg000012l_0916-R	Similar to IGPS: Indole-3-glycerol phosphate synthase%2C chloroplastic (Arabidopsis thaliana)
Chr6	4753231	4754620	+	Sdiv_ptg000012l_0917-R	Similar to NSP5: Nitrile-specifier protein 5 (Arabidopsis thaliana)
Chr6	4754355	4754619	-	Sdiv_ptg000012l_0918-R	Protein of unknown function
Chr6	4762818	4763288	+	Sdiv_ptg000012l_0919-R	Similar to SNE: F-box protein SNE (Arabidopsis thaliana)
Chr6	4765641	4767659	+	Sdiv_ptg000012l_0920-R	Similar to OBE2: Protein OBERON 2 (Arabidopsis thaliana)
Chr6	4771609	4773910	+	Sdiv_ptg000012l_0921-R	Similar to PAT1: Scarecrow-like transcription factor PAT1 (Arabidopsis thaliana)
Chr6	4774673	4776401	+	Sdiv_ptg000012l_0922-R	Similar to Polygalacturonase (Brassica napus)
Chr6	4776761	4779536	-	Sdiv_ptg000012l_0923-R	Similar to RNP1: Heterogeneous nuclear ribonucleoprotein 1 (Arabidopsis thaliana)
Chr6	4780090	4786647	+	Sdiv_ptg000012l_0924-R	Similar to MMS19: MMS19 nucleotide excision repair protein homolog (Arabidopsis thaliana)
Chr6	4788688	4791594	+	Sdiv_ptg000012l_0925-R	Similar to TT10: Laccase-15 (Arabidopsis thaliana)
Chr6	4792445	4794305	-	Sdiv_ptg000012l_0926-R	Similar to FTIP1: FT-interacting protein 1 (Arabidopsis thaliana)
Chr6	4797775	4798552	-	Sdiv_ptg000012l_0927-R	Similar to WTF9: Protein WHAT'S THIS FACTOR 9%2C mitochondrial (Arabidopsis thaliana)
Chr6	4798657	4802734	+	Sdiv_ptg000012l_0928-R	Similar to GFA2: Chaperone protein dnaJ GFA2%2C mitochondrial (Arabidopsis thaliana)
Chr6	4803057	4805798	+	Sdiv_ptg000012l_0929-R	Protein of unknown function
Chr6	4805732	4807062	-	Sdiv_ptg000012l_0930-R	Similar to RABA4C: Ras-related protein RABA4c (Arabidopsis thaliana)
Chr6	4808113	4810927	+	Sdiv_ptg000012l_0931-R	Similar to dusA: tRNA-dihydrouridine(20/20a) synthase (Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC))
Chr6	4811411	4814304	+	Sdiv_ptg000012l_0932-R	Protein of unknown function
Chr6	4815781	4816698	+	Sdiv_ptg000012l_0933-R	Similar to RPS27B: 40S ribosomal protein S27-2 (Arabidopsis thaliana)
Chr6	4815942	4816349	-	Sdiv_ptg000012l_0934-R	Protein of unknown function
Chr6	4818576	4819136	+	Sdiv_ptg000012l_0935-R	Protein of unknown function
Chr6	4821327	4825758	-	Sdiv_ptg000012l_0936-R	Similar to RBOHD: Respiratory burst oxidase homolog protein D (Arabidopsis thaliana)
Chr6	4829923	4831322	-	Sdiv_ptg000012l_0937-R	Similar to At5g47890: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Arabidopsis thaliana)
Chr6	4832662	4834169	+	Sdiv_ptg000012l_0938-R	Similar to ERF1-1: Eukaryotic peptide chain release factor subunit 1-1 (Brassica oleracea var. botrytis)
Chr6	4834827	4836156	+	Sdiv_ptg000012l_0939-R	Similar to RAD52-2: DNA repair RAD52-like protein 2%2C chloroplastic (Arabidopsis thaliana)
Chr6	4836171	4839214	-	Sdiv_ptg000012l_0940-R	Protein of unknown function
Chr6	4844430	4844912	-	Sdiv_ptg000012l_0941-R	Similar to At5g47840: Adenylate kinase 2%2C chloroplastic (Arabidopsis thaliana)
Chr6	4846361	4848145	+	Sdiv_ptg000012l_0942-R	Protein of unknown function
Chr6	4847986	4854853	-	Sdiv_ptg000012l_0943-R	Similar to KIN4A: Kinesin-like protein KIN-4A (Arabidopsis thaliana)
Chr6	4858790	4862237	+	Sdiv_ptg000012l_0944-R	Similar to SF1: Splicing factor-like protein 1 (Arabidopsis thaliana)
Chr6	4862432	4863625	-	Sdiv_ptg000012l_0945-R	Protein of unknown function
Chr6	4864119	4866248	-	Sdiv_ptg000012l_0946-R	Similar to At3g10130: Heme-binding-like protein At3g10130%2C chloroplastic (Arabidopsis thaliana)
Chr6	4869165	4875967	+	Sdiv_ptg000012l_0947-R	Similar to ABCG38: ABC transporter G family member 38 (Arabidopsis thaliana)
Chr6	4875877	4877886	-	Sdiv_ptg000012l_0948-R	Similar to apgM: 2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase (Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938))
Chr6	4884063	4886655	+	Sdiv_ptg000012l_0949-R	Similar to POX1: Proline dehydrogenase 1%2C mitochondrial (Arabidopsis thaliana)
Chr6	4894267	4895228	+	Sdiv_ptg000012l_0950-R	Similar to SOFL3: Protein SOB FIVE-LIKE 3 (Arabidopsis thaliana)
Chr6	5007232	5007657	-	Sdiv_ptg000012l_0951-R	Similar to AIP2: E3 ubiquitin-protein ligase AIP2 (Arabidopsis thaliana)
Chr6	5010875	5013095	+	Sdiv_ptg000012l_0952-R	Similar to AVT6A: Amino acid transporter AVT6A (Arabidopsis thaliana)
Chr6	5012403	5015606	-	Sdiv_ptg000012l_0953-R	Similar to abhd17c: Alpha/beta hydrolase domain-containing protein 17C (Danio rerio)
Chr6	5019230	5020608	+	Sdiv_ptg000012l_0954-R	Similar to GLV3: Protein GOLVEN 3 (Arabidopsis thaliana)
Chr6	5021339	5023619	-	Sdiv_ptg000012l_0955-R	Similar to At3g30340: WAT1-related protein At3g30340 (Arabidopsis thaliana)
Chr6	5027887	5031642	+	Sdiv_ptg000012l_0956-R	Similar to OFUT27: O-fucosyltransferase 27 (Arabidopsis thaliana)
Chr6	5031818	5036617	-	Sdiv_ptg000012l_0957-R	Similar to AUG5: AUGMIN subunit 5 (Arabidopsis thaliana)
Chr6	5038307	5042085	-	Sdiv_ptg000012l_0958-R	Similar to AP1: Agamous-like MADS-box protein AP1 (Vitis vinifera)
Chr6	5051027	5052791	-	Sdiv_ptg000012l_0959-R	Similar to MYB62: Transcription factor MYB62 (Arabidopsis thaliana)
Chr6	5059430	5062326	-	Sdiv_ptg000012l_0960-R	Similar to CYP85A2: Cytochrome P450 85A2 (Arabidopsis thaliana)
Chr6	5081572	5086768	+	Sdiv_ptg000012l_0961-R	Similar to MED15C: Probable mediator of RNA polymerase II transcription subunit 15c (Arabidopsis thaliana)
Chr6	5089509	5092325	-	Sdiv_ptg000012l_0962-R	Similar to COBL2: COBRA-like protein 2 (Arabidopsis thaliana)
Chr6	5094658	5096988	-	Sdiv_ptg000012l_0963-R	Similar to MES11: Putative methylesterase 11%2C chloroplastic (Arabidopsis thaliana)
Chr6	5099274	5103010	+	Sdiv_ptg000012l_0964-R	Similar to SPBC1271.03c: Uncharacterized FCP1 homology domain-containing protein C1271.03c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
Chr6	5110552	5112219	+	Sdiv_ptg000012l_0965-R	Similar to AFP3: Ninja-family protein AFP3 (Arabidopsis thaliana)
Chr6	5117523	5122679	-	Sdiv_ptg000012l_0966-R	Similar to RIK: Protein RIK (Arabidopsis thaliana)
Chr6	5123073	5124925	+	Sdiv_ptg000012l_0967-R	Protein of unknown function
Chr6	5125865	5127030	-	Sdiv_ptg000012l_0968-R	Similar to EXPA22: Expansin-A22 (Arabidopsis thaliana)
Chr6	5129580	5133361	+	Sdiv_ptg000012l_0969-R	Similar to UGD2: UDP-glucose 6-dehydrogenase 2 (Arabidopsis thaliana)
Chr6	5134522	5140091	-	Sdiv_ptg000012l_0970-R	Similar to PHS1: Alpha-glucan phosphorylase 1 (Arabidopsis thaliana)
Chr6	5141093	5142933	-	Sdiv_ptg000012l_0971-R	Similar to BAG1: BAG family molecular chaperone regulator 8%2C chloroplastic (Arabidopsis thaliana)
Chr6	5144628	5147558	-	Sdiv_ptg000012l_0972-R	Similar to EMB2076: Pentatricopeptide repeat-containing protein At3g29290 (Arabidopsis thaliana)
Chr6	5147562	5149429	+	Sdiv_ptg000012l_0973-R	Protein of unknown function
Chr6	5150329	5151362	+	Sdiv_ptg000012l_0974-R	Protein of unknown function
Chr6	5151791	5154065	+	Sdiv_ptg000012l_0975-R	Similar to nop56: Nucleolar protein 56 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
Chr6	5153276	5154667	-	Sdiv_ptg000012l_0976-R	Protein of unknown function
Chr6	5156451	5157550	-	Sdiv_ptg000012l_0977-R	Similar to Plut_0637: UPF0301 protein Plut_0637 (Chlorobium luteolum (strain DSM 273 / BCRC 81028 / 2530))
Chr6	5165322	5167313	+	Sdiv_ptg000012l_0978-R	Similar to CM1: Chorismate mutase 1%2C chloroplastic (Arabidopsis thaliana)
Chr6	5167569	5170756	+	Sdiv_ptg000012l_0979-R	Protein of unknown function
Chr6	5170676	5174521	-	Sdiv_ptg000012l_0980-R	Protein of unknown function
Chr6	5175444	5176686	+	Sdiv_ptg000012l_0981-R	Similar to TMEM230: Transmembrane protein 230 (Gallus gallus)
Chr6	5177228	5181075	+	Sdiv_ptg000012l_0982-R	Similar to KIN11: SNF1-related protein kinase catalytic subunit alpha KIN11 (Arabidopsis thaliana)
Chr6	5182304	5183645	+	Sdiv_ptg000012l_0983-R	Similar to CG10681: KxDL motif-containing protein CG10681 (Drosophila melanogaster)
Chr6	5187957	5189771	+	Sdiv_ptg000012l_0984-R	Similar to VTI13: Vesicle transport v-SNARE 13 (Arabidopsis thaliana)
Chr6	5189753	5191886	-	Sdiv_ptg000012l_0985-R	Similar to PME31: Pectinesterase 31 (Arabidopsis thaliana)
Chr6	5192403	5193469	+	Sdiv_ptg000012l_0986-R	Similar to At5g39570: Uncharacterized protein At5g39570 (Arabidopsis thaliana)
Chr6	5194027	5195482	-	Sdiv_ptg000012l_0987-R	Similar to At3g29070: Transmembrane emp24 domain-containing protein p24delta11 (Arabidopsis thaliana)
Chr6	5200286	5201571	-	Sdiv_ptg000012l_0988-R	Similar to NAC59: NAC domain-containing protein 59 (Arabidopsis thaliana)
Chr6	5209521	5211745	+	Sdiv_ptg000012l_0989-R	Similar to EXPA5: Expansin-A5 (Arabidopsis thaliana)
Chr6	5213157	5214411	+	Sdiv_ptg000012l_0990-R	Similar to MYB105: Transcription factor MYB105 (Arabidopsis thaliana)
Chr6	5214502	5215824	-	Sdiv_ptg000012l_0991-R	Similar to LipL2: Inactive lipoate--protein ligase 2 (Plasmodium falciparum (isolate 3D7))
Chr6	5216750	5217340	-	Sdiv_ptg000012l_0992-R	Similar to CML46: Probable calcium-binding protein CML46 (Arabidopsis thaliana)
Chr6	5219688	5222025	+	Sdiv_ptg000012l_0993-R	Similar to AAR3: Defective in cullin neddylation protein AAR3 (Arabidopsis thaliana)
Chr6	5223271	5224667	+	Sdiv_ptg000012l_0994-R	Similar to AVT1I: Amino acid transporter AVT1I (Arabidopsis thaliana)
Chr6	5227427	5233233	+	Sdiv_ptg000012l_0995-R	Similar to AIG2B: Protein AIG2 B (Arabidopsis thaliana)
Chr6	5233994	5241859	-	Sdiv_ptg000012l_0996-R	Similar to SMC4: Structural maintenance of chromosomes protein 4 (Arabidopsis thaliana)
Chr6	5268600	5270561	-	Sdiv_ptg000012l_0997-R	Similar to MYB30: Transcription factor MYB30 (Arabidopsis thaliana)
Chr6	5275744	5277623	+	Sdiv_ptg000012l_0998-R	Similar to RPL34B: 60S ribosomal protein L34-2 (Arabidopsis thaliana)
Chr6	5277977	5281651	-	Sdiv_ptg000012l_0999-R	Similar to psmD10: 26S proteasome non-ATPase regulatory subunit 10 (Dictyostelium discoideum)
Chr6	5282279	5289238	-	Sdiv_ptg000012l_1000-R	Similar to Thada: Thyroid adenoma-associated protein homolog (Mus musculus)
Chr6	5298705	5305693	+	Sdiv_ptg000012l_1001-R	Similar to ABCB19: ABC transporter B family member 19 (Arabidopsis thaliana)
Chr6	5305667	5305954	-	Sdiv_ptg000012l_1002-R	Protein of unknown function
Chr6	5338019	5340539	+	Sdiv_ptg000012l_1003-R	Similar to aroB': 3-dehydroquinate synthase (Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H))
Chr6	5343578	5345554	+	Sdiv_ptg000012l_1004-R	Similar to CYP81D11: Cytochrome P450 81D11 (Arabidopsis thaliana)
Chr6	5346662	5348629	+	Sdiv_ptg000012l_1005-R	Similar to CYP81D11: Cytochrome P450 81D11 (Arabidopsis thaliana)
Chr6	5346813	5352739	-	Sdiv_ptg000012l_1006-R	Similar to SSRP1: FACT complex subunit SSRP1 (Arabidopsis thaliana)
Chr6	5353116	5355185	-	Sdiv_ptg000012l_1007-R	Protein of unknown function
Chr6	5355833	5361853	-	Sdiv_ptg000012l_1008-R	Similar to VHA-d1: V-type proton ATPase subunit d1 (Arabidopsis thaliana)
Chr6	5363090	5365836	-	Sdiv_ptg000012l_1009-R	Similar to midA: Protein arginine methyltransferase NDUFAF7 homolog%2C mitochondrial (Dictyostelium discoideum)
Chr6	5367624	5370117	-	Sdiv_ptg000012l_1010-R	Similar to PBL36: Serine/threonine-protein kinase PBL36 (Arabidopsis thaliana)
Chr6	5372578	5376037	-	Sdiv_ptg000012l_1011-R	Similar to Odr4: Protein odr-4 homolog (Mus musculus)
Chr6	5376251	5380719	+	Sdiv_ptg000012l_1012-R	Similar to PCMP-E79: Putative pentatricopeptide repeat-containing protein At3g28640 (Arabidopsis thaliana)
Chr6	5378827	5380309	-	Sdiv_ptg000012l_1013-R	Protein of unknown function
Chr6	5394414	5394755	-	Sdiv_ptg000012l_1014-R	Similar to RPP2C: 60S acidic ribosomal protein P2-3 (Arabidopsis thaliana)
Chr6	5395190	5397566	+	Sdiv_ptg000012l_1015-R	Similar to P4H7: Probable prolyl 4-hydroxylase 7 (Arabidopsis thaliana)
Chr6	5397908	5399088	+	Sdiv_ptg000012l_1016-R	Similar to MYB35: Transcription factor MYB35 (Arabidopsis thaliana)
Chr6	5399271	5404081	+	Sdiv_ptg000012l_1017-R	Similar to CLE25: CLAVATA3/ESR (CLE)-related protein 25 (Arabidopsis thaliana)
Chr6	5408337	5410975	+	Sdiv_ptg000012l_1018-R	Protein of unknown function
Chr6	5426105	5431319	+	Sdiv_ptg000012l_1019-R	Similar to ABCB15: ABC transporter B family member 15 (Arabidopsis thaliana)
Chr6	5430881	5432287	-	Sdiv_ptg000012l_1020-R	Similar to NRPB6A: DNA-directed RNA polymerases II%2C IV and V subunit 6A (Arabidopsis thaliana)
Chr6	5439683	5442010	+	Sdiv_ptg000012l_1021-R	Similar to FTRC: Ferredoxin-thioredoxin reductase catalytic chain%2C chloroplastic (Arabidopsis thaliana)
Chr6	5441264	5441917	-	Sdiv_ptg000012l_1022-R	Similar to SAP12: Zinc finger AN1 domain-containing stress-associated protein 12 (Arabidopsis thaliana)
Chr6	5444410	5444817	-	Sdiv_ptg000012l_1023-R	Similar to PER31: Peroxidase 31 (Arabidopsis thaliana)
Chr6	5448137	5451291	-	Sdiv_ptg000012l_1024-R	Similar to CSLC4: Xyloglucan glycosyltransferase 4 (Arabidopsis thaliana)
Chr6	5459963	5461957	+	Sdiv_ptg000012l_1025-R	Similar to AXY4L: xyloglucan O-acetyltransferase 2 (Arabidopsis thaliana)
Chr6	5461131	5461718	-	Sdiv_ptg000012l_1026-R	Protein of unknown function
Chr6	5462306	5462860	-	Sdiv_ptg000012l_1027-R	Protein of unknown function
Chr6	5463671	5466258	-	Sdiv_ptg000012l_1028-R	Similar to At3g28050: WAT1-related protein At3g28050 (Arabidopsis thaliana)
Chr6	5467915	5471055	-	Sdiv_ptg000012l_1029-R	Similar to At3g28040: Probably inactive leucine-rich repeat receptor-like protein kinase At3g28040 (Arabidopsis thaliana)
Chr6	5474172	5474427	-	Sdiv_ptg000012l_1030-R	Similar to UVH3: DNA repair protein UVH3 (Arabidopsis thaliana)
Chr6	5478020	5479802	+	Sdiv_ptg000012l_1031-R	Similar to SWEET4: Bidirectional sugar transporter SWEET4 (Arabidopsis thaliana)
Chr6	5481898	5484500	-	Sdiv_ptg000012l_1032-R	Similar to rexo4: RNA exonuclease 4 (Xenopus laevis)
Chr6	5491973	5494276	+	Sdiv_ptg000012l_1033-R	Similar to KLCR2: Protein KINESIN LIGHT CHAIN-RELATED 2 (Arabidopsis thaliana)
Chr6	5494826	5495684	+	Sdiv_ptg000012l_1034-R	Protein of unknown function
Chr6	5496156	5497813	+	Sdiv_ptg000012l_1035-R	Protein of unknown function
Chr6	5497968	5500672	+	Sdiv_ptg000012l_1036-R	Similar to DEGP1: Protease Do-like 1%2C chloroplastic (Arabidopsis thaliana)
Chr6	5505367	5506868	+	Sdiv_ptg000012l_1037-R	Similar to NQR: NADPH:quinone oxidoreductase (Arabidopsis thaliana)
Chr6	5510183	5515502	-	Sdiv_ptg000012l_1038-R	Similar to ALA8: Probable phospholipid-transporting ATPase 8 (Arabidopsis thaliana)
Chr6	5517857	5518702	+	Sdiv_ptg000012l_1039-R	Similar to SNL6: Cinnamoyl-CoA reductase-like SNL6 (Oryza sativa subsp. japonica)
Chr6	5520875	5522421	+	Sdiv_ptg000012l_1040-R	Similar to SNL6: Cinnamoyl-CoA reductase-like SNL6 (Oryza sativa subsp. japonica)
Chr6	5524366	5526884	-	Sdiv_ptg000012l_1041-R	Similar to PDP6: PWWP domain-containing protein 6 (Arabidopsis thaliana)
Chr6	5527387	5527962	-	Sdiv_ptg000012l_1042-R	Similar to RPL12A: 50S ribosomal protein L12-1%2C chloroplastic (Arabidopsis thaliana)
Chr6	5527403	5529238	+	Sdiv_ptg000012l_1043-R	Protein of unknown function
Chr6	5529707	5533061	-	Sdiv_ptg000012l_1044-R	Similar to MDAR4: Monodehydroascorbate reductase 4%2C peroxisomal (Arabidopsis thaliana)
Chr6	5539604	5542040	-	Sdiv_ptg000012l_1045-R	Similar to MYB21: Transcription factor MYB21 (Arabidopsis thaliana)
Chr6	5548832	5551280	+	Sdiv_ptg000012l_1046-R	Similar to MYB118: Transcription factor MYB118 (Arabidopsis thaliana)
Chr6	5551701	5552041	+	Sdiv_ptg000012l_1047-R	Protein of unknown function
Chr6	5552169	5554453	+	Sdiv_ptg000012l_1048-R	Protein of unknown function
Chr6	5555706	5562030	+	Sdiv_ptg000012l_1049-R	Similar to MER3: DExH-box ATP-dependent RNA helicase DExH17 (Arabidopsis thaliana)
Chr6	5566248	5570108	+	Sdiv_ptg000012l_1050-R	Similar to At3g27700: Zinc finger CCCH domain-containing protein 41 (Arabidopsis thaliana)
Chr6	5570348	5571551	-	Sdiv_ptg000012l_1051-R	Similar to LHCB2.4: Chlorophyll a-b binding protein 2.4%2C chloroplastic (Arabidopsis thaliana)
Chr6	5571876	5580902	-	Sdiv_ptg000012l_1052-R	Similar to RST1: Protein RST1 (Arabidopsis thaliana)
Chr6	5581562	5582798	-	Sdiv_ptg000012l_1053-R	Similar to S2: Oleosin S2-2 (Brassica napus)
Chr6	5594818	5598009	-	Sdiv_ptg000012l_1054-R	Similar to DTL: Denticleless protein homolog (Gallus gallus)
Chr6	5605967	5608583	+	Sdiv_ptg000012l_1055-R	Similar to D6PKL3: Serine/threonine-protein kinase D6PKL3 (Arabidopsis thaliana)
Chr6	5609016	5611651	+	Sdiv_ptg000012l_1056-R	Similar to AIM32: Altered inheritance of mitochondria protein 32 (Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324))
Chr6	5612917	5618519	+	Sdiv_ptg000012l_1057-R	Similar to CFM9: CRM-domain containing factor CFM9%2C mitochondrial (Arabidopsis thaliana)
Chr6	5618799	5621355	-	Sdiv_ptg000012l_1058-R	Similar to Mgat3: Beta-1%2C4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (Rattus norvegicus)
Chr6	5624944	5631185	+	Sdiv_ptg000012l_1059-R	Similar to GC6: Golgin candidate 6 (Arabidopsis thaliana)
Chr6	5631243	5632185	-	Sdiv_ptg000012l_1060-R	Protein of unknown function
Chr6	5633481	5635615	-	Sdiv_ptg000012l_1061-R	Similar to CYP709B3: Cytochrome P450 709B3 (Arabidopsis thaliana)
Chr6	5636970	5640870	-	Sdiv_ptg000012l_1062-R	Protein of unknown function
Chr6	5642007	5644831	+	Sdiv_ptg000012l_1063-R	Similar to SGF29A: SAGA-associated factor 29 homolog A (Arabidopsis thaliana)
Chr6	5646565	5648952	+	Sdiv_ptg000012l_1064-R	Similar to TIF3I1: Eukaryotic translation initiation factor 3 subunit I (Arabidopsis thaliana)
Chr6	5649232	5650325	+	Sdiv_ptg000012l_1065-R	Similar to RPS21C: 40S ribosomal protein S21-2 (Arabidopsis thaliana)
Chr6	5650455	5652852	-	Sdiv_ptg000012l_1066-R	Similar to UKL5: Uridine kinase-like protein 5 (Arabidopsis thaliana)
Chr6	5650892	5651535	+	Sdiv_ptg000012l_1067-R	Protein of unknown function
Chr6	5654034	5656769	-	Sdiv_ptg000012l_1068-R	Similar to PBB1: Proteasome subunit beta type-7-A (Arabidopsis thaliana)
Chr6	5661289	5664194	-	Sdiv_ptg000012l_1069-R	Similar to At3g27400: Putative pectate lyase 11 (Arabidopsis thaliana)
Chr6	5666659	5670052	+	Sdiv_ptg000012l_1070-R	Similar to At3g27390: Uncharacterized membrane protein At3g27390 (Arabidopsis thaliana)
Chr6	5670838	5672163	+	Sdiv_ptg000012l_1071-R	Similar to SDH2-1: Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1%2C mitochondrial (Arabidopsis thaliana)
